date,close,bh_equity,flagship_equity,flagship_position,bh_drawdown,flagship_drawdown
2005-09-01,38.9200,0.761859,1.469263,1,-0.669834,-0.156112
2005-09-02,38.7700,0.758923,1.463600,1,-0.671106,-0.159364
2005-09-06,39.3400,0.770081,1.485118,1,-0.666271,-0.147005
2005-09-07,39.4100,0.771451,1.487761,1,-0.665677,-0.145487
2005-09-08,39.4000,0.771255,1.487383,1,-0.665762,-0.145704
2005-09-09,39.6200,0.775562,1.495689,1,-0.663895,-0.140934
2005-09-12,39.7300,0.777715,1.499841,1,-0.662962,-0.138549
2005-09-13,39.6300,0.775758,1.496066,1,-0.663811,-0.140717
2005-09-14,39.1800,0.766949,1.479078,1,-0.667628,-0.150474
2005-09-15,39.1600,0.766557,1.478323,1,-0.667798,-0.150908
2005-09-16,39.4000,0.771255,1.487383,1,-0.665762,-0.145704
2005-09-19,39.0900,0.765187,1.475681,1,-0.668392,-0.152426
2005-09-20,38.9300,0.762055,1.469641,1,-0.669749,-0.155895
2005-09-21,38.5000,0.753638,1.453408,1,-0.673397,-0.165219
2005-09-22,38.6400,0.756378,1.458693,1,-0.672209,-0.162183
2005-09-23,38.7500,0.758532,1.462845,1,-0.671276,-0.159798
2005-09-26,38.7600,0.758727,1.463223,1,-0.671191,-0.159581
2005-09-27,38.6700,0.756966,1.459825,1,-0.671955,-0.161533
2005-09-28,38.6800,0.757161,1.460203,1,-0.671870,-0.161316
2005-09-29,39.2000,0.767340,1.479833,1,-0.667458,-0.150041
2005-09-30,39.4600,0.772430,1.489648,1,-0.665253,-0.144403
2005-10-03,39.5600,0.774387,1.493424,1,-0.664404,-0.142235
2005-10-04,39.3000,0.769298,1.483608,1,-0.666610,-0.147872
2005-10-05,38.7600,0.758727,1.463223,1,-0.671191,-0.159581
2005-10-06,38.2500,0.748744,1.443970,1,-0.675517,-0.170639
2005-10-07,38.3400,0.750506,1.447368,1,-0.674754,-0.168688
2005-10-10,38.1300,0.746395,1.439440,1,-0.676535,-0.173241
2005-10-11,37.9400,0.742676,1.432267,1,-0.678147,-0.177361
2005-10-12,37.4900,0.733867,1.415279,1,-0.681965,-0.187118
2005-10-13,37.7800,0.739544,1.426227,1,-0.679505,-0.180830
2005-10-14,38.0600,0.745025,1.436797,1,-0.677129,-0.174759
2005-10-17,38.1800,0.747374,1.441327,1,-0.676111,-0.172157
2005-10-18,37.9100,0.742089,1.431135,1,-0.678402,-0.178011
2005-10-19,38.6700,0.756966,1.459825,1,-0.671955,-0.161533
2005-10-20,38.3100,0.749919,1.446235,1,-0.675008,-0.169338
2005-10-21,38.5500,0.754617,1.455295,1,-0.672973,-0.164134
2005-10-24,39.1600,0.766557,1.478323,1,-0.667798,-0.150908
2005-10-25,39.0100,0.763621,1.472661,1,-0.669070,-0.154160
2005-10-26,38.8100,0.759706,1.465110,1,-0.670767,-0.158497
2005-10-27,38.0300,0.744438,1.435665,1,-0.677384,-0.175409
2005-10-28,38.3200,0.750114,1.446613,1,-0.674924,-0.169121
2005-10-31,38.8700,0.760881,1.467375,1,-0.670258,-0.157196
2005-11-01,38.8400,0.760293,1.466243,1,-0.670512,-0.157846
2005-11-02,39.3500,0.770277,1.485496,1,-0.666186,-0.146788
2005-11-03,39.9400,0.781826,1.507769,1,-0.661181,-0.133996
2005-11-04,40.0800,0.784566,1.513054,1,-0.659993,-0.130960
2005-11-07,40.1300,0.785545,1.514942,1,-0.659569,-0.129876
2005-11-08,40.1400,0.785741,1.515319,1,-0.659484,-0.129659
2005-11-09,40.1600,0.786132,1.516074,1,-0.659315,-0.129225
2005-11-10,40.6000,0.794745,1.532684,1,-0.655582,-0.119685
2005-11-11,40.7100,0.796899,1.536837,1,-0.654649,-0.117300
2005-11-14,40.7100,0.796899,1.536837,1,-0.654649,-0.117300
2005-11-15,40.5200,0.793179,1.529664,1,-0.656261,-0.121420
2005-11-16,40.7700,0.798073,1.539102,1,-0.654140,-0.115999
2005-11-17,41.3100,0.808644,1.559488,1,-0.649559,-0.104290
2005-11-18,41.4500,0.811384,1.564773,1,-0.648371,-0.101255
2005-11-21,41.5500,0.813342,1.568548,1,-0.647523,-0.099087
2005-11-22,41.7000,0.816278,1.574210,1,-0.646250,-0.095834
2005-11-23,41.8000,0.818235,1.577985,1,-0.645402,-0.093666
2005-11-25,41.8900,0.819997,1.581383,1,-0.644639,-0.091714
2005-11-28,41.5400,0.813146,1.568170,1,-0.647608,-0.099303
2005-11-29,41.3400,0.809231,1.560620,1,-0.649304,-0.103640
2005-11-30,41.2400,0.807273,1.556845,1,-0.650153,-0.105808
2005-12-01,42.0100,0.822346,1.585913,1,-0.643621,-0.089113
2005-12-02,42.1100,0.824304,1.589688,1,-0.642772,-0.086944
2005-12-05,41.8000,0.818235,1.577985,1,-0.645402,-0.093666
2005-12-06,41.9400,0.820976,1.583271,1,-0.644214,-0.090630
2005-12-07,41.8600,0.819410,1.580251,1,-0.644893,-0.092365
2005-12-08,41.5600,0.813537,1.568925,1,-0.647438,-0.098870
2005-12-09,41.7200,0.816669,1.574965,1,-0.646081,-0.095400
2005-12-12,41.8700,0.819606,1.580628,1,-0.644808,-0.092148
2005-12-13,42.0500,0.823129,1.587423,1,-0.643281,-0.088245
2005-12-14,41.9000,0.820193,1.581761,1,-0.644554,-0.091498
2005-12-15,41.9700,0.821563,1.584403,1,-0.643960,-0.089980
2005-12-16,41.5800,0.813929,1.569680,1,-0.647268,-0.098436
2005-12-19,40.9200,0.801009,1.544765,1,-0.652867,-0.112747
2005-12-20,40.9500,0.801597,1.545897,1,-0.652613,-0.112096
2005-12-21,41.1300,0.805120,1.552692,1,-0.651086,-0.108193
2005-12-22,41.4000,0.810405,1.562885,1,-0.648795,-0.102339
2005-12-23,41.4000,0.810405,1.562885,1,-0.648795,-0.102339
2005-12-27,41.0400,0.803358,1.549295,1,-0.651849,-0.110145
2005-12-28,40.9900,0.802380,1.547407,1,-0.652273,-0.111229
2005-12-29,40.7200,0.797094,1.537215,1,-0.654564,-0.117083
2005-12-30,40.4100,0.791026,1.525512,1,-0.657194,-0.123805
2006-01-03,41.3100,0.808644,1.559488,1,-0.649559,-0.104290
2006-01-04,41.7400,0.817061,1.575720,1,-0.645911,-0.094967
2006-01-05,41.9200,0.820584,1.582516,1,-0.644384,-0.091064
2006-01-06,42.6800,0.835461,1.611206,1,-0.637937,-0.074585
2006-01-09,42.8500,0.838789,1.617624,1,-0.636495,-0.070899
2006-01-10,42.8800,0.839376,1.618756,1,-0.636240,-0.070249
2006-01-11,43.2100,0.845836,1.631214,1,-0.633441,-0.063093
2006-01-12,43.0000,0.841725,1.623287,1,-0.635222,-0.067647
2006-01-13,42.9800,0.841334,1.622531,1,-0.635392,-0.068080
2006-01-17,42.7000,0.835853,1.611961,1,-0.637767,-0.074151
2006-01-18,42.2100,0.826261,1.593463,1,-0.641924,-0.084776
2006-01-19,42.5200,0.832329,1.605166,1,-0.639294,-0.078054
2006-01-20,41.2500,0.807469,1.557223,1,-0.650068,-0.105591
2006-01-23,41.2600,0.807665,1.557600,1,-0.649983,-0.105374
